Trees;Instances;Features;Max;Avg
1;200;3;66.6667;63.3333
1;200;4;75.5556;70.3333
1;200;5;75.9259;69
1;200;6;76.2963;71
1;200;7;71.4815;67.6667
1;200;8;70.3704;63
1;200;9;64.0741;61
1;205;2;77.037;68.3333
1;205;3;70;65
1;205;4;78.8889;71.3333
1;205;5;77.037;71.6667
1;205;6;75.5556;70.6667
1;205;7;73.7037;69.3333
1;205;8;72.5926;70.3333
1;205;9;74.0741;70.6667
1;210;2;66.6667;64
1;210;3;70;68.6667
1;210;4;73.3333;68
1;210;5;75.9259;71
1;210;6;78.1481;69.6667
1;210;7;67.4074;61.6667
1;210;8;73.3333;68.3333
1;210;9;60.7407;54.3333
1;215;2;70;68.6667
1;215;3;68.5185;67.3333
1;215;4;71.4815;60.3333
1;215;5;72.963;61
1;215;6;75.5556;72.6667
1;215;7;75.1852;71.3333
1;215;8;75.5556;71.3333
1;215;9;78.8889;69.6667
1;220;2;74.0741;69.6667
1;220;3;75.1852;67
1;220;4;70.7407;67.3333
1;220;5;69.6296;59.3333
1;220;6;71.4815;65.6667
1;220;7;70;65.3333
1;220;8;75.5556;71
1;220;9;77.7778;73
1;225;2;72.5926;67.6667
1;225;3;68.5185;67.6667
1;225;4;74.8148;69.3333
1;225;5;70.3704;65.6667
1;225;6;71.1111;64.3333
1;225;7;69.2593;61.6667
1;225;8;74.0741;68
1;225;9;72.5926;68.3333
1;230;2;69.6296;64.3333
1;230;3;75.9259;68
1;230;4;58.8889;56
1;230;5;72.2222;67
1;230;6;71.8519;66.6667
1;230;7;75.9259;70
1;230;8;71.4815;67.6667
1;230;9;77.7778;74.6667
1;235;2;66.6667;60.3333
1;235;3;76.2963;67.3333
1;235;4;74.8148;67.6667
1;235;5;76.2963;73.6667
1;235;6;64.8148;62.6667
1;235;7;73.3333;68
1;235;8;73.3333;69
1;235;9;77.037;66.6667
1;240;2;76.6667;71.3333
1;240;3;72.963;68.6667
1;240;4;70.7407;67
1;240;5;75.1852;72
1;240;6;71.4815;69
1;240;7;68.8889;65.6667
1;240;8;70.7407;67.6667
1;240;9;77.7778;74.3333
1;245;2;68.8889;63.6667
1;245;3;74.8148;70.3333
1;245;4;78.8889;70
1;245;5;78.1481;69
1;245;6;73.7037;68
1;245;7;77.4074;68.3333
1;245;8;78.8889;68.6667
1;245;9;76.6667;71.6667
1;250;2;74.0741;68
1;250;3;69.2593;64.3333
1;250;4;67.037;65.3333
1;250;5;71.1111;69.6667
1;250;6;65.1852;63.3333
1;250;7;76.6667;72.3333
1;250;8;74.4444;67.3333
1;250;9;71.8519;64.3333
1;255;2;72.963;66.6667
1;255;3;72.2222;64.6667
1;255;4;74.8148;69.6667
1;255;5;76.6667;72.3333
1;255;6;75.5556;72.3333
1;255;7;76.2963;72.6667
1;255;8;75.5556;64.3333
1;255;9;77.4074;73.3333
1;260;2;74.8148;71
1;260;3;75.5556;68.6667
1;260;4;71.8519;67.3333
1;260;5;75.5556;69.6667
1;260;6;76.6667;69.6667
1;260;7;77.7778;69.6667
1;260;8;74.0741;70.6667
1;260;9;74.0741;72.6667
1;265;2;72.963;65
1;265;3;72.963;67
1;265;4;71.8519;67
1;265;5;70.7407;66
1;265;6;70.7407;69.3333
1;265;7;76.2963;72.6667
